edge_id,src,dst,bw,delay
edge_1,6,0,1000,0.8
edge_2,0,6,1000,0.8
edge_3,6,8,1000,0.6
edge_4,8,6,1000,0.6
edge_5,6,13,1000,0.2
edge_6,13,6,1000,0.2
edge_7,6,2,1000,6.8
edge_8,2,6,1000,6.8
edge_9,6,3,1000,0.3
edge_10,3,6,1000,0.3
edge_11,19,14,1000,0.3
edge_12,14,19,1000,0.3
edge_13,19,21,1000,0.2
edge_14,21,19,1000,0.2
edge_15,19,1,1000,0.2
edge_16,1,19,1000,0.2
edge_17,0,14,1000,0.4
edge_18,14,0,1000,0.4
edge_19,0,9,1000,0.2
edge_20,9,0,1000,0.2
edge_21,10,8,1000,0.4
edge_22,8,10,1000,0.4
edge_23,10,20,1000,0.3
edge_24,20,10,1000,0.3
edge_25,10,4,1000,0.3
edge_26,4,10,1000,0.3
edge_27,8,14,1000,0.5
edge_28,14,8,1000,0.5
edge_29,8,17,1000,1.8
edge_30,17,8,1000,1.8
edge_31,8,16,1000,1.1
edge_32,16,8,1000,1.1
edge_33,8,9,1000,0.5
edge_34,9,8,1000,0.5
edge_35,8,1,1000,0.4
edge_36,1,8,1000,0.4
edge_37,8,15,1000,1.2
edge_38,15,8,1000,1.2
edge_39,18,14,1000,1.1
edge_10,14,18,1000,1.1
edge_41,18,9,1000,1.2
edge_42,9,18,1000,1.2
edge_43,18,12,1000,0.5
edge_44,12,18,1000,0.5
edge_45,14,21,1000,0.3
edge_46,21,14,1000,0.3
edge_47,14,7,1000,0.3
edge_48,7,14,1000,0.3
edge_49,17,9,1000,1.5
edge_50,9,17,1000,1.5
edge_51,11,13,1000,0.3
edge_52,13,11,1000,0.3
edge_53,11,3,1000,0.1
edge_54,3,11,1000,0.1
edge_55,13,4,1000,0.2
edge_56,4,13,1000,0.2
edge_57,16,7,1000,0.5
edge_58,7,16,1000,0.5
edge_59,5,9,1000,2.7
edge_60,9,5,1000,2.7
edge_61,5,1,1000,3.3
edge_62,1,5,1000,3.3
edge_63,1,7,1000,0.4
edge_64,7,1,1000,0.4
edge_65,2,7,1000,5.6
edge_66,7,2,1000,5.6
edge_67,20,15,1000,0.8
edge_68,15,20,1000,0.8
edge_69,12,7,1000,1.6
edge_70,7,12,1000,1.6
edge_71,15,7,1000,1.4
edge_72,7,15,1000,1.4
